date,mean_precipitation,temperature_2m_max,temperature_2m_min,surface_net_solar_radiation_sum,temperature_2m_mean,cumulative_precipitation
2023-02-24,2.2292315959475673,17.046746826171898,6.37854919433596,1860928.0,284.8626480102539,0.0
2023-02-25,8.38914555242809,9.19495544433596,7.018899536132835,2827592.0,281.2569274902344,0.0
2023-02-26,1.4448940752913586,13.216638183593773,8.23090515136721,2171406.0,283.87377166748047,0.0
2023-02-27,0.4408717154547048,22.480020141601585,13.429498291015648,14232496.0,291.1047592163086,0.0
2023-02-28,0.0025817898290370067,23.153344726562523,9.74555358886721,16060592.0,289.59944915771484,0.0
2023-03-01,0.21823644635787787,22.413858032226585,15.129006958007835,6220978.0,291.9214324951172,0.0
2023-03-02,24.73345398902893,20.537988281250023,14.597695922851585,4615774.0,290.7178421020508,0.0
2023-03-03,32.71164298047324,20.073510742187523,12.64313659667971,6104190.0,289.5083236694336,0.0
2023-03-04,1.1468410490920178,16.259179687500023,9.494729614257835,12229484.771240234,286.0269546508789,0.0
2023-03-05,0.0004351138045421976,21.189538574218773,6.08228454589846,16744650.328125,286.7859115600586,0.0
2023-03-06,0.0025725612999849545,23.676721191406273,12.99414978027346,14792142.90234375,291.48543548583984,0.0
2023-03-07,0.003627988974130858,20.722894287109398,12.001550292968773,16211395.6015625,289.51222229003906,0.0
2023-03-08,6.071331963710236,15.763909912109398,9.011697387695335,5423484.4921875,285.53780364990234,0.0
2023-03-09,18.356115238134407,16.391625976562523,9.077111816406273,6463314.65625,285.8843688964844,0.0
2023-03-10,2.779918908970558,15.09186706542971,6.477868652343773,16189046.87109375,283.9348678588867,0.0
2023-03-11,3.390778002597017,12.641809082031273,4.818521118164085,6728968.62109375,281.88016510009766,0.0
2023-03-12,17.96553134909118,12.746453857421898,7.95026550292971,11049830.25,283.4983596801758,0.0
2023-03-13,0.004891555988706386,11.23279724121096,3.7854553222656477,18096700.8125,280.6591262817383,0.0
2023-03-14,0.000852346317969932,8.557656860351585,0.11834106445314774,18634536.1875,277.48799896240234,0.0
2023-03-15,0.0012881691304755805,12.656106567382835,-1.6826232910156023,18590804.3125,278.6367416381836,0.0
2023-03-16,0.791066884989533,17.946069335937523,6.64032897949221,9042317.25,285.44319915771484,0.0
2023-03-17,14.087730896619632,15.893579101562523,5.05756530761721,17731101.0,283.62557220458984,0.0
2023-03-18,-9.191296612698352e-06,8.907464599609398,0.35080871582033524,18943209.8125,277.77913665771484,0.0
2023-03-19,0.0012844800494349329,6.157556152343773,-2.9967102050781023,19013151.36328125,274.7304229736328,0.0
2023-03-20,0.001721326043480076,10.94080505371096,-3.4403289794921648,18928430.09375,276.9002380371094,0.0
2023-03-21,5.873990548270314,8.81318054199221,4.497918701171898,3284379.6953125,279.80554962158203,0.0
2023-03-22,18.28559772616245,22.097924804687523,9.018762207031273,5966336.0,288.7083435058594,0.0
2023-03-23,0.26786923399413354,23.737176513671898,16.994073486328148,6339268.0,293.515625,0.0
