id_image,date_image,ndvi_value,evi_value,date_image_dt
20201002T164131_20201002T165157_T15SYV,2020-10-02,0.2718310914989165,2.7953680703716013,2020-10-02
20201007T164109_20201007T164956_T15SYV,2020-10-07,0.22298783548416776,2.7867932450123045,2020-10-07
20201017T164309_20201017T164706_T15SYV,2020-10-17,0.23285479185122923,2.7901842235557317,2020-10-17
20201022T164341_20201022T165140_T15SYV,2020-10-22,0.18694208279743843,2.9388350451634992,2020-10-22
20201101T164441_20201101T165342_T15SYV,2020-11-01,0.2658541029401644,2.8043057265823332,2020-11-01
20201106T164509_20201106T165305_T15SYV,2020-11-06,0.24598330741234722,2.799772016361752,2020-11-06
20201111T164531_20201111T164533_T15SYV,2020-11-11,0.22062685835782941,2.7686239493945153,2020-11-11
20201126T164629_20201126T164630_T15SYV,2020-11-26,0.23679627248958834,2.8716715643266175,2020-11-26
20201201T164651_20201201T164645_T15SYV,2020-12-01,0.35401659366051885,2.84590684584177,2020-12-01
20201206T164659_20201206T164657_T15SYV,2020-12-06,0.2865609982619506,2.886215014045925,2020-12-06
20201221T164711_20201221T164713_T15SYV,2020-12-21,0.44129442944953495,2.8246061043434514,2020-12-21
20201226T164709_20201226T164711_T15SYV,2020-12-26,0.39704270231125344,2.8293260277790653,2020-12-26
20210105T164659_20210105T164659_T15SYV,2021-01-05,0.4397807329918907,2.8464736635144496,2021-01-05
20210115T164639_20210115T164634_T15SYV,2021-01-15,0.3887678377981312,2.852031557725328,2021-01-15
20210306T164049_20210306T164211_T15SYV,2021-03-06,0.4738058415378746,2.8776473620034784,2021-03-06
20210321T163951_20210321T164459_T15SYV,2021-03-21,0.4590716470323011,2.866307608453155,2021-03-21
20210326T163839_20210326T164637_T15SYV,2021-03-26,0.5101190929234459,2.8778744749357563,2021-03-26
20210410T163851_20210410T164518_T15SYV,2021-04-10,0.21154993370163577,2.8362817028967275,2021-04-10
20210420T163851_20210420T165108_T15SYV,2021-04-20,0.17141231558689807,2.7428646791114177,2021-04-20
20210425T163829_20210425T164719_T15SYV,2021-04-25,0.23735338769424624,2.7966071813186093,2021-04-25
20210430T163901_20210430T164521_T15SYV,2021-04-30,0.24847022578166203,2.785018125127812,2021-04-30
20210505T163839_20210505T164804_T15SYV,2021-05-05,0.2554080912089153,2.8088089438629353,2021-05-05
20210515T163839_20210515T164437_T15SYV,2021-05-15,0.17696926800441581,2.7552896636241617,2021-05-15
20210525T163839_20210525T164855_T15SYV,2021-05-25,0.11610841842466083,2.6359581027142647,2021-05-25
20210530T163901_20210530T164531_T15SYV,2021-05-30,0.2407137563263339,2.7735043728424404,2021-05-30
20210614T163839_20210614T164522_T15SYV,2021-06-14,0.5744786305101136,2.8884493580441455,2021-06-14
20210704T163839_20210704T164809_T15SYV,2021-07-04,0.6684097234518,2.9173955602269737,2021-07-04
20210714T163839_20210714T165142_T15SYV,2021-07-14,0.8380054297940477,2.9455918537458996,2021-07-14
20210724T163839_20210724T164841_T15SYV,2021-07-24,0.8086388199246043,3.0415168361590537,2021-07-24
20210729T163901_20210729T164530_T15SYV,2021-07-29,0.8263975445206238,2.986753747787578,2021-07-29
20210803T163839_20210803T165337_T15SYV,2021-08-03,0.8629350853332165,3.001413130394797,2021-08-03
20210808T163901_20210808T164526_T15SYV,2021-08-08,0.7834915861436518,2.977858188384291,2021-08-08
20210813T163839_20210813T164340_T15SYV,2021-08-13,0.6340577572167159,2.915124548974646,2021-08-13
20210823T163839_20210823T164440_T15SYV,2021-08-23,0.8656576170165489,2.9701032989488763,2021-08-23
20210828T163901_20210828T164340_T15SYV,2021-08-28,0.44043951529707603,2.916639064839528,2021-08-28
20210902T163839_20210902T164931_T15SYV,2021-09-02,0.8606607391516714,2.9696531134377393,2021-09-02
20210907T163901_20210907T164342_T15SYV,2021-09-07,0.8620056658724801,2.9465205966258927,2021-09-07
20210912T163839_20210912T165148_T15SYV,2021-09-12,0.8063407287456154,2.9308180494450027,2021-09-12
20210922T163909_20210922T164725_T15SYV,2021-09-22,0.6166722381431589,2.8937617615723736,2021-09-22
20210927T164051_20210927T165058_T15SYV,2021-09-27,0.40914317647901205,2.8308048550134672,2021-09-27
20211007T164201_20211007T164644_T15SYV,2021-10-07,0.19090805355868892,2.963715237033904,2021-10-07
20211012T164139_20211012T164929_T15SYV,2021-10-12,0.309605253919161,2.821813320504033,2021-10-12
20211017T164311_20211017T164947_T15SYV,2021-10-17,0.33290028532095944,2.8348955557048283,2021-10-17
20211022T164339_20211022T165222_T15SYV,2021-10-22,0.3325788589637268,2.8439589204517657,2021-10-22
20211106T164511_20211106T164505_T15SYV,2021-11-06,0.30699878636228617,2.817973692428314,2021-11-06
20211126T164631_20211126T164630_T15SYV,2021-11-26,0.4753830910259284,2.851188603791484,2021-11-26
20211201T164639_20211201T165157_T15SYV,2021-12-01,0.005010293402470374,2.545544662258768,2021-12-01
20211206T164701_20211206T164656_T15SYV,2021-12-06,0.5003733696840813,2.8396619959511638,2021-12-06
20211221T164709_20211221T165216_T15SYV,2021-12-21,0.6349649345721516,2.8842679729824034,2021-12-21
20220105T164701_20220105T164702_T15SYV,2022-01-05,0.6718051341836637,2.8861524249193753,2022-01-05
20220110T164649_20220110T165155_T15SYV,2022-01-10,0.7108970388193087,2.8981604197530504,2022-01-10
20220120T164609_20220120T165128_T15SYV,2022-01-20,0.5986383573689957,2.8582223049168283,2022-01-20
20220125T164601_20220125T164555_T15SYV,2022-01-25,0.4960156130954484,2.883262971613942,2022-01-25
20220130T164529_20220130T164856_T15SYV,2022-01-30,0.4634426960604832,2.8869717326617628,2022-01-30
20220209T164429_20220209T164549_T15SYV,2022-02-09,0.5200569705668989,2.8643001737579845,2022-02-09
20220214T164401_20220214T164637_T15SYV,2022-02-14,0.4614434117926461,2.8517054141587703,2022-02-14
20220219T164319_20220219T164516_T15SYV,2022-02-19,0.4836314462952416,2.8812368452321837,2022-02-19
20220301T164119_20220301T164835_T15SYV,2022-03-01,0.507199662775098,2.8888940695992313,2022-03-01
20220316T164031_20220316T164609_T15SYV,2022-03-16,0.5065044823243269,2.8888414050016324,2022-03-16
20220331T163839_20220331T164945_T15SYV,2022-03-31,0.6027371771622825,2.8984493368635373,2022-03-31
20220410T163839_20220410T164815_T15SYV,2022-04-10,0.5299383264044968,2.8776389384045986,2022-04-10
20220430T163829_20220430T164555_T15SYV,2022-04-30,0.32395908914276855,2.825582158002275,2022-04-30
20220510T163839_20220510T165138_T15SYV,2022-05-10,0.19120742673523833,2.7487060408411517,2022-05-10
20220515T163841_20220515T164813_T15SYV,2022-05-15,0.20139496718360927,2.732719169164329,2022-05-15
20220530T163839_20220530T165143_T15SYV,2022-05-30,0.2337490224607583,2.786087350352086,2022-05-30
20220604T163851_20220604T164914_T15SYV,2022-06-04,0.2702061534969177,2.793593710736656,2022-06-04
20220609T163839_20220609T165222_T15SYV,2022-06-09,0.24774158865230306,3.0261697021523735,2022-06-09
20220614T163911_20220614T165243_T15SYV,2022-06-14,0.2896677487380232,2.788842756399367,2022-06-14
20220619T163839_20220619T164910_T15SYV,2022-06-19,0.3803017985592104,2.8576895501843147,2022-06-19
20220629T163839_20220629T164910_T15SYV,2022-06-29,0.36060461969164587,2.8379914664324906,2022-06-29
20220704T163851_20220704T164451_T15SYV,2022-07-04,0.3544259698372316,2.8213323580517633,2022-07-04
20220709T163839_20220709T164913_T15SYV,2022-07-09,0.4101615534925551,2.876414092043248,2022-07-09
20220714T163911_20220714T165318_T15SYV,2022-07-14,0.5273906890977047,2.8649996599976926,2022-07-14
20220724T163851_20220724T164409_T15SYV,2022-07-24,0.5656012439141301,2.8775189717305034,2022-07-24
20220808T163839_20220808T164731_T15SYV,2022-08-08,0.8018783265915271,2.940741446744383,2022-08-08
20220813T163911_20220813T164311_T15SYV,2022-08-13,0.8400511781539594,2.9494846072036904,2022-08-13
