id_image,date_image,ndvi_value,evi_value,date_image_dt,savitzky_golay,timestamps
,,0.19506108863402244,2.7578010037249987,2023-03-07,0.19376164666735865,2023-03-07
,,0.19527207367559318,2.759347610388569,2023-03-08,0.1934520943703551,2023-03-08
,,0.1954830587171639,2.7608942170521393,2023-03-09,0.19314254207335152,2023-03-09
,,0.19569404375873464,2.7624408237157096,2023-03-10,0.19283298977634797,2023-03-10
,,0.19590502880030536,2.76398743037928,2023-03-11,0.19252343747934442,2023-03-11
,,0.19611601384187607,2.7655340370428503,2023-03-12,0.19221388518234087,2023-03-12
,,0.19632699888344682,2.7670806437064206,2023-03-13,0.19190433288533731,2023-03-13
,,0.19653798392501753,2.768627250369991,2023-03-14,0.19159478058833374,2023-03-14
,,0.19674896896658828,2.7701738570335617,2023-03-15,0.19128522829133018,2023-03-15
,,0.196959954008159,2.771720463697132,2023-03-16,0.19097567599432663,2023-03-16
,,0.19717093904972974,2.7732670703607023,2023-03-17,0.19066612369732308,2023-03-17
,,0.19738192409130045,2.7748136770242726,2023-03-18,0.19035657140031953,2023-03-18
,,0.1975929091328712,2.776360283687843,2023-03-19,0.19004701910331595,2023-03-19
,,0.1978038941744419,2.7779068903514132,2023-03-20,0.1897374668063124,2023-03-20
,,0.19801487921601266,2.7794534970149836,2023-03-21,0.18942791450930885,2023-03-21
,,0.19822586425758337,2.781000103678554,2023-03-22,0.1891183622123053,2023-03-22
,,0.19843684929915412,2.782546710342124,2023-03-23,0.18880880991530175,2023-03-23
,,0.19864783434072483,2.7840933170056945,2023-03-24,0.18849925761829817,2023-03-24
,,0.19885881938229558,2.785639923669265,2023-03-25,0.18818970532129461,2023-03-25
20230326T163839_20230326T164123_T15SYV,2023-03-26,0.1990698044238663,2.787186530332835,2023-03-26,0.18788015302429106,2023-03-26
,,0.197965364152723,2.785661673955318,2023-03-27,0.18837830611768766,2023-03-27
,,0.19686092388157975,2.7841368175778007,2023-03-28,0.18887645921108426,2023-03-28
,,0.19575648361043646,2.7826119612002835,2023-03-29,0.18937461230448083,2023-03-29
,,0.19465204333929317,2.781087104822766,2023-03-30,0.18987276539787742,2023-03-30
,,0.19354760306814991,2.7795622484452487,2023-03-31,0.19037091849127402,2023-03-31
,,0.19244316279700663,2.7780373920677315,2023-04-01,0.19086907158467062,2023-04-01
,,0.19133872252586334,2.7765125356902143,2023-04-02,0.19136722467806722,2023-04-02
,,0.19023428225472008,2.774987679312697,2023-04-03,0.19186537777146379,2023-04-03
,,0.1891298419835768,2.77346282293518,2023-04-04,0.19236353086486038,2023-04-04
,,0.1880254017124335,2.7719379665576627,2023-04-05,0.19286168395825698,2023-04-05
,,0.18692096144129025,2.7704131101801455,2023-04-06,0.19335983705165358,2023-04-06
,,0.18581652117014696,2.768888253802628,2023-04-07,0.19385799014505017,2023-04-07
,,0.18471208089900368,2.7673633974251106,2023-04-08,0.19435614323844674,2023-04-08
,,0.18360764062786042,2.7658385410475934,2023-04-09,0.19485429633184334,2023-04-09
20230410T163841_20230410T164312_T15SYV,2023-04-10,0.18250320035671713,2.764313684670076,2023-04-10,0.19535244942523994,2023-04-10
,,0.18337117726043187,2.7652890069843648,2023-04-11,0.19526042624905085,2023-04-11
,,0.1842391541641466,2.7662643292986533,2023-04-12,0.19516840307286176,2023-04-12
,,0.18510713106786134,2.767239651612942,2023-04-13,0.19507637989667267,2023-04-13
,,0.1859751079715761,2.7682149739272304,2023-04-14,0.1949843567204836,2023-04-14
,,0.18684308487529083,2.769190296241519,2023-04-15,0.1948923335442945,2023-04-15
,,0.18771106177900557,2.7701656185558075,2023-04-16,0.1948003103681054,2023-04-16
,,0.1885790386827203,2.771140940870096,2023-04-17,0.19470828719191632,2023-04-17
,,0.18944701558643504,2.7721162631843845,2023-04-18,0.19461626401572724,2023-04-18
,,0.19031499249014977,2.773091585498673,2023-04-19,0.19452424083953815,2023-04-19
,,0.19118296939386453,2.774066907812962,2023-04-20,0.19443221766334906,2023-04-20
,,0.19205094629757927,2.7750422301272506,2023-04-21,0.19434019448715995,2023-04-21
,,0.192918923201294,2.776017552441539,2023-04-22,0.19424817131097086,2023-04-22
,,0.19378690010500874,2.7769928747558277,2023-04-23,0.19415614813478177,2023-04-23
,,0.19465487700872347,2.777968197070116,2023-04-24,0.19406412495859268,2023-04-24
,,0.1955228539124382,2.7789435193844048,2023-04-25,0.1939721017824036,2023-04-25
,,0.19639083081615294,2.7799188416986933,2023-04-26,0.1938800786062145,2023-04-26
,,0.1972588077198677,2.780894164012982,2023-04-27,0.19378805543002542,2023-04-27
,,0.19812678462358244,2.7818694863272704,2023-04-28,0.19369603225383633,2023-04-28
,,0.19899476152729717,2.782844808641559,2023-04-29,0.19360400907764724,2023-04-29
20230430T163901_20230430T165155_T15SYV,2023-04-30,0.1998627384310119,2.7838201309558475,2023-04-30,0.19351198590145816,2023-04-30
,,0.197287061597384,2.7829597575677703,2023-05-01,0.1894890341185636,2023-05-01
,,0.19471138476375605,2.782099384179693,2023-05-02,0.18546608233566908,2023-05-02
,,0.19213570793012813,2.781239010791616,2023-05-03,0.18144313055277453,2023-05-03
,,0.18956003109650021,2.7803786374035386,2023-05-04,0.17742017876988,2023-05-04
,,0.1869843542628723,2.7795182640154614,2023-05-05,0.17339722698698545,2023-05-05
,,0.18440867742924436,2.778657890627384,2023-05-06,0.16937427520409093,2023-05-06
,,0.18183300059561644,2.777797517239307,2023-05-07,0.16535132342119638,2023-05-07
,,0.17925732376198852,2.7769371438512302,2023-05-08,0.16132837163830183,2023-05-08
,,0.1766816469283606,2.776076770463153,2023-05-09,0.1573054198554073,2023-05-09
,,0.17410597009473266,2.775216397075076,2023-05-10,0.15328246807251275,2023-05-10
,,0.17153029326110475,2.7743560236869986,2023-05-11,0.1492595162896182,2023-05-11
,,0.16895461642747683,2.7734956502989214,2023-05-12,0.14523656450672368,2023-05-12
,,0.16637893959384892,2.772635276910844,2023-05-13,0.14121361272382912,2023-05-13
,,0.16380326276022097,2.771774903522767,2023-05-14,0.1371906609409346,2023-05-14
20230515T163839_20230515T164715_T15SYV,2023-05-15,0.16122758592659306,2.77091453013469,2023-05-15,0.13316770915804005,2023-05-15
,,0.13913587333489363,2.6968198439973436,2023-05-16,0.12871537986439252,2023-05-16
,,0.11704416074319424,2.6227251578599975,2023-05-17,0.124263050570745,2023-05-17
,,0.09495244815149481,2.548630471722651,2023-05-18,0.11981072127709748,2023-05-18
,,0.0728607355597954,2.4745357855853047,2023-05-19,0.11535839198344996,2023-05-19
20230520T163841_20230520T164330_T15SYV,2023-05-20,0.050769022968095996,2.4004410994479586,2023-05-20,0.11090606268980244,2023-05-20
,,0.07661993010379822,2.474050380788901,2023-05-21,0.1088168425056793,2023-05-21
,,0.10247083723950046,2.547659662129843,2023-05-22,0.10672762232155618,2023-05-22
,,0.1283217443752027,2.621268943470785,2023-05-23,0.10463840213743304,2023-05-23
,,0.15417265151090492,2.694878224811727,2023-05-24,0.10254918195330992,2023-05-24
20230525T163839_20230525T164730_T15SYV,2023-05-25,0.18002355864660716,2.7684875061526695,2023-05-25,0.10045996176918678,2023-05-25
,,0.17580462797727983,2.758462268661771,2023-05-26,0.13494157353691155,2023-05-26
,,0.1715856973079525,2.7484370311708726,2023-05-27,0.1694231853046363,2023-05-27
,,0.16736676663862518,2.738411793679974,2023-05-28,0.20390479707236103,2023-05-28
,,0.16314783596929786,2.7283865561890757,2023-05-29,0.2383864088400858,2023-05-29
20230530T163841_20230530T164335_T15SYV,2023-05-30,0.15892890529997053,2.718361318698177,2023-05-30,0.27286802060781057,2023-05-30
,,0.19560248865356683,2.7318604751298405,2023-05-31,0.28453744607251524,2023-05-31
,,0.23227607200716316,2.7453596315615036,2023-06-01,0.2962068715372199,2023-06-01
,,0.26894965536075943,2.758858787993167,2023-06-02,0.3078762970019246,2023-06-02
,,0.30562323871435576,2.7723579444248303,2023-06-03,0.31954572246662927,2023-06-03
,,0.3422968220679521,2.785857100856494,2023-06-04,0.33121514793133394,2023-06-04
,,0.37897040542154836,2.7993562572881574,2023-06-05,0.3428845733960386,2023-06-05
,,0.41564398877514463,2.8128554137198205,2023-06-06,0.3545539988607433,2023-06-06
,,0.452317572128741,2.826354570151484,2023-06-07,0.36622342432544797,2023-06-07
,,0.4889911554823373,2.839853726583147,2023-06-08,0.37789284979015264,2023-06-08
20230609T163841_20230609T164114_T15SYV,2023-06-09,0.5256647388359336,2.8533528830148107,2023-06-09,0.3895622752548573,2023-06-09
,,0.5183560023829018,2.8777885553110267,2023-06-10,0.4353659356541731,2023-06-10
,,0.51104726592987,2.9022242276072423,2023-06-11,0.48116959605348886,2023-06-11
,,0.5037385294768383,2.9266598999034583,2023-06-12,0.5269732564528046,2023-06-12
,,0.4964297930238065,2.951095572199674,2023-06-13,0.5727769168521204,2023-06-13
20230614T163839_20230614T164806_T15SYV,2023-06-14,0.48912105657077476,2.97553124449589,2023-06-14,0.6185805772514361,2023-06-14
,,0.52481394400703,2.9768044237948947,2023-06-15,0.6334447015055386,2023-06-15
,,0.5605068314432851,2.978077603093899,2023-06-16,0.648308825759641,2023-06-16
,,0.5961997188795403,2.9793507823929035,2023-06-17,0.6631729500137434,2023-06-17
,,0.6318926063157955,2.9806239616919084,2023-06-18,0.6780370742678459,2023-06-18
,,0.6675854937520507,2.981897140990913,2023-06-19,0.6929011985219484,2023-06-19
,,0.7032783811883058,2.9831703202899176,2023-06-20,0.7077653227760508,2023-06-20
,,0.738971268624561,2.984443499588922,2023-06-21,0.7226294470301533,2023-06-21
,,0.7746641560608161,2.985716678887927,2023-06-22,0.7374935712842557,2023-06-22
,,0.8103570434970713,2.9869898581869316,2023-06-23,0.7523576955383582,2023-06-23
20230624T163839_20230624T164802_T15SYV,2023-06-24,0.8460499309333265,2.988263037485936,2023-06-24,0.7672218197924606,2023-06-24
,,0.8534084166956015,2.988893660817176,2023-06-25,0.7892948723054916,2023-06-25
,,0.8607669024578766,2.989524284148416,2023-06-26,0.8113679248185224,2023-06-26
,,0.8681253882201517,2.9901549074796567,2023-06-27,0.8334409773315533,2023-06-27
,,0.8754838739824268,2.990785530810897,2023-06-28,0.8555140298445841,2023-06-28
20230629T163841_20230629T165204_T15SYV,2023-06-29,0.8828423597447018,2.991416154142137,2023-06-29,0.8775870823576151,2023-06-29
,,0.8673840152896504,2.998243336980962,2023-06-30,0.8719887846568289,2023-06-30
,,0.8519256708345989,3.0050705198197867,2023-07-01,0.8663904869560428,2023-07-01
,,0.8364673263795473,3.011897702658611,2023-07-02,0.8607921892552568,2023-07-02
,,0.8210089819244959,3.018724885497436,2023-07-03,0.8551938915544707,2023-07-03
20230704T163839_20230704T164807_T15SYV,2023-07-04,0.8055506374694444,3.025552068336261,2023-07-04,0.8495955938536845,2023-07-04
,,0.8093500370003774,3.0285038219710367,2023-07-05,0.8500561816045283,2023-07-05
,,0.8131494365313106,3.0314555756058126,2023-07-06,0.8505167693553721,2023-07-06
,,0.8169488360622436,3.0344073292405884,2023-07-07,0.850977357106216,2023-07-07
,,0.8207482355931766,3.0373590828753643,2023-07-08,0.8514379448570598,2023-07-08
,,0.8245476351241097,3.04031083651014,2023-07-09,0.8518985326079036,2023-07-09
,,0.8283470346550427,3.0432625901449155,2023-07-10,0.8523591203587474,2023-07-10
,,0.8321464341859757,3.0462143437796914,2023-07-11,0.8528197081095912,2023-07-11
,,0.8359458337169087,3.049166097414467,2023-07-12,0.8532802958604351,2023-07-12
,,0.8397452332478418,3.052117851049243,2023-07-13,0.8537408836112789,2023-07-13
,,0.8435446327787748,3.055069604684019,2023-07-14,0.8542014713621227,2023-07-14
,,0.8473440323097078,3.0580213583187947,2023-07-15,0.8546620591129664,2023-07-15
,,0.8511434318406409,3.0609731119535706,2023-07-16,0.8551226468638102,2023-07-16
,,0.8549428313715739,3.0639248655883464,2023-07-17,0.8555832346146541,2023-07-17
,,0.8587422309025069,3.0668766192231223,2023-07-18,0.8560438223654979,2023-07-18
,,0.8625416304334399,3.0698283728578977,2023-07-19,0.8565044101163417,2023-07-19
,,0.866341029964373,3.0727801264926735,2023-07-20,0.8569649978671855,2023-07-20
,,0.870140429495306,3.0757318801274494,2023-07-21,0.8574255856180293,2023-07-21
